Home,xG_home,Score,xG_away,Away,PC1_home,PC2_home,PC3_home,PC4_home,PC5_home,PC6_home,PC7_home,PC8_home,PC9_home,PC10_home,PC11_home,PC12_home,PC13_home,PC1_away,PC2_away,PC3_away,PC4_away,PC5_away,PC6_away,PC7_away,PC8_away,PC9_away,PC10_away,PC11_away,PC12_away,PC13_away,result
Metz,0.1,0–3,2.7,Marseille,0.27735193177235146,-1.6054273763355298,-0.5462234077409506,0.02592427515999086,0.446848798913101,-0.11040626425188757,0.17364986100652322,-0.19033877924162132,-0.40299143727083053,0.39553498608709486,-0.15675194804768192,0.19479114390171948,-0.07416142944036697,1.0217501167577956,1.0373644260374695,0.08196994793233771,-0.06901097603428963,-0.30347558143554376,-0.13809659889387893,0.2962908521887774,0.05236962804368282,0.07080421586278965,0.26734182070115753,-0.023087965407417473,0.16338842949975432,-0.3373135749445402,-1
Brest,1.5,0–0,0.2,Nantes,-0.7087435571768448,-1.304700808022325,-0.41093419416648747,0.001000943646045857,0.02759711802416821,-0.34452135973978765,0.23295847961013685,-0.17409419709220636,-0.02242038892408795,0.07689704932853623,-0.1696304745867298,-0.046685854054007096,-0.328656588772276,-1.453638561166534,-1.223931247439509,-0.2686562279474486,-0.15863373638806355,-0.06979620517309708,-0.4212326711393056,0.2078188230893315,0.1862622177275964,-0.11180070926268722,0.32407671557957884,0.13668487077801528,0.4108855227775068,-0.14099594848373104,0
Auxerre,1.7,1–2,0.4,Lens,-0.08215464220763691,-1.7434914656738252,-0.3601998987292563,0.5778263751765574,-0.1418888107239082,-0.30710670503828386,0.2288240191986595,-0.06261337309839299,-0.05847138777169534,0.04114727721526582,-0.1322917198368065,0.18907595404698135,-0.08371611142746864,-0.684392598950293,-0.6552967369112738,-0.0825757459863506,0.4006584752963288,0.08448283795772925,-0.05231792893444961,0.39058789867487204,0.21189969836075204,-0.10937836037290632,0.1588492251916509,-0.20459994427114184,0.14042498221279892,0.05302406441811932,-1
Lyon,1.2,1–2,1.2,Toulouse,0.6591401968211248,-0.8661971332627958,-0.4125221628793211,-0.11081371265624067,-0.0604045892681511,0.2835490744557837,0.17770783317216118,-0.14816505754695658,0.2632356435879941,0.4251323254022056,0.03258319050443237,0.19599939140700479,-0.15763550580393662,0.3383556441990339,-1.7258097144943296,-0.31936639652674165,-0.7283505141121237,0.06767048626053349,0.03715347369952371,-0.2044399237235885,-0.25838281138481844,-0.02827088468071591,-0.0767394396585683,-0.0017697896072756472,0.1421752561784104,0.07355320564072669,-1
Strasbourg,4.6,5–0,0.3,Angers,0.2753264241813365,-2.3794539145438436,-0.10782445834127093,-0.17496622729700362,-0.48148787183371183,0.17551129793674888,-0.2988018220238849,0.12261680877332108,0.1762516089344963,0.17188235109223773,0.03802289344718833,0.3317427159203543,-0.00017455632911593058,-0.6868347795578484,-2.751345557687061,-0.4922960677642476,-0.7778570672413281,0.327376757092172,-0.3114810844485232,0.06455735938130709,0.17041319883406628,0.023819620833733405,0.3808488894108347,0.012039264188097027,-0.16502955323050367,-0.07212000760935207,1
Monaco,2.9,2–2,1.1,Nice,0.7722143991656735,0.041000731776876145,-0.1465627273683375,0.07483409027701406,-0.31287099035930555,-0.1194974563509695,-0.31317924133863356,0.0029520692277098803,-0.030634922642243045,0.025469624837798376,0.3142239181840429,-0.023431080401533133,-0.27697061879247403,0.06755515554086422,0.06366731652511551,-0.17569213014652743,0.1399908660656271,-0.1654777934796214,-0.30723522849498863,-0.3537641390162535,-0.0029536102852414686,0.07280991254104989,0.4717418151289155,-0.11083050055943183,-0.1762948802944829,0.11657126893758983,0
Havre AC,1.7,2–2,1.0,Rennes,-0.3278718919414595,-1.940210615050672,-0.08208852616363572,-0.2509665861822586,0.22998047893687543,-0.5263421764459065,0.21924767604293316,0.20125131483245365,-0.2827016136552632,-0.0989362824310366,-0.20356111649124242,0.26234105126829416,0.09195191686661351,0.5359024755460219,0.020485282104811358,0.009794052981345983,-0.16504806876946354,-0.29083217855809707,-0.1023357814474617,0.05334636971704419,0.34223053074017634,-0.39412259288018964,0.2631923942711162,-0.243166205512094,0.022934647676731167,-0.048438931067374714,0
Lille,0.5,1–1,1.5,PSG,0.07376421979877801,0.05480708160518169,-0.14955994001794504,-0.18010932123477313,0.012887184901212037,-0.15602991101464905,-0.18593395308587737,-0.15315091626945834,-0.0760230333686816,0.2868866966499413,-0.005167760938694681,0.12220092553711981,0.047931866801388355,1.1846561044242967,1.7419812084047253,-0.31108455730753376,0.3952058744749122,-1.3798621481441458,-0.30819150769547105,-0.22319507812215603,0.08513295426480409,0.2632296789830166,-0.21323119369223553,0.2165841081973,0.07474603786091638,-0.4088356719826116,0
PSG,2.7,3–3,2.3,Strasbourg,1.1846561044242967,1.7419812084047253,-0.31108455730753376,0.3952058744749122,-1.3798621481441458,-0.30819150769547105,-0.22319507812215603,0.08513295426480409,0.2632296789830166,-0.21323119369223553,0.2165841081973,0.07474603786091638,-0.4088356719826116,0.2753264241813365,-2.3794539145438436,-0.10782445834127093,-0.17496622729700362,-0.48148787183371183,0.17551129793674888,-0.2988018220238849,0.12261680877332108,0.1762516089344963,0.17188235109223773,0.03802289344718833,0.3317427159203543,-0.00017455632911593058,0
Nice,0.7,3–2,3.3,Lyon,0.06755515554086422,0.06366731652511551,-0.17569213014652743,0.1399908660656271,-0.1654777934796214,-0.30723522849498863,-0.3537641390162535,-0.0029536102852414686,0.07280991254104989,0.4717418151289155,-0.11083050055943183,-0.1762948802944829,0.11657126893758983,0.6591401968211248,-0.8661971332627958,-0.4125221628793211,-0.11081371265624067,-0.0604045892681511,0.2835490744557837,0.17770783317216118,-0.14816505754695658,0.2632356435879941,0.4251323254022056,0.03258319050443237,0.19599939140700479,-0.15763550580393662,1
Angers,1.8,1–1,1.9,Monaco,-0.6868347795578484,-2.751345557687061,-0.4922960677642476,-0.7778570672413281,0.327376757092172,-0.3114810844485232,0.06455735938130709,0.17041319883406628,0.023819620833733405,0.3808488894108347,0.012039264188097027,-0.16502955323050367,-0.07212000760935207,0.7722143991656735,0.041000731776876145,-0.1465627273683375,0.07483409027701406,-0.31287099035930555,-0.1194974563509695,-0.31317924133863356,0.0029520692277098803,-0.030634922642243045,0.025469624837798376,0.3142239181840429,-0.023431080401533133,-0.27697061879247403,0
Marseille,4.2,6–2,0.5,Havre AC,1.0217501167577956,1.0373644260374695,0.08196994793233771,-0.06901097603428963,-0.30347558143554376,-0.13809659889387893,0.2962908521887774,0.05236962804368282,0.07080421586278965,0.26734182070115753,-0.023087965407417473,0.16338842949975432,-0.3373135749445402,-0.3278718919414595,-1.940210615050672,-0.08208852616363572,-0.2509665861822586,0.22998047893687543,-0.5263421764459065,0.21924767604293316,0.20125131483245365,-0.2827016136552632,-0.0989362824310366,-0.20356111649124242,0.26234105126829416,0.09195191686661351,1
Lens,1.6,2–1,0.5,Paris FC,-0.684392598950293,-0.6552967369112738,-0.0825757459863506,0.4006584752963288,0.08448283795772925,-0.05231792893444961,0.39058789867487204,0.21189969836075204,-0.10937836037290632,0.1588492251916509,-0.20459994427114184,0.14042498221279892,0.05302406441811932,0.8646871631070242,-0.5350052365821274,-0.2933633404779215,-0.18746293095500666,0.28153206621008753,-0.3244100080108276,0.5087237024054643,0.1443489267875461,-0.07782353488806107,0.22609806283841474,-0.14328485545578543,0.29496317282813,0.6124160933248779,1
Rennes,2.0,2–2,1.5,Auxerre,0.5359024755460219,0.020485282104811358,0.009794052981345983,-0.16504806876946354,-0.29083217855809707,-0.1023357814474617,0.05334636971704419,0.34223053074017634,-0.39412259288018964,0.2631923942711162,-0.243166205512094,0.022934647676731167,-0.048438931067374714,-0.08215464220763691,-1.7434914656738252,-0.3601998987292563,0.5778263751765574,-0.1418888107239082,-0.30710670503828386,0.2288240191986595,-0.06261337309839299,-0.05847138777169534,0.04114727721526582,-0.1322917198368065,0.18907595404698135,-0.08371611142746864,0
Lorient,1.2,3–3,1.6,Brest,0.0789842427593366,-1.7601231622655817,-0.34628129601008845,0.3818924910964954,-0.2025530777048714,-0.04618941083904896,-0.0059696143188351205,0.3356672014136607,-0.4113419581702137,0.3479323354938426,-0.5518177227670552,0.265789267469047,-0.027456077264886296,-0.7087435571768448,-1.304700808022325,-0.41093419416648747,0.001000943646045857,0.02759711802416821,-0.34452135973978765,0.23295847961013685,-0.17409419709220636,-0.02242038892408795,0.07689704932853623,-0.1696304745867298,-0.046685854054007096,-0.328656588772276,0
Toulouse,2.5,4–0,0.1,Metz,0.3383556441990339,-1.7258097144943296,-0.31936639652674165,-0.7283505141121237,0.06767048626053349,0.03715347369952371,-0.2044399237235885,-0.25838281138481844,-0.02827088468071591,-0.0767394396585683,-0.0017697896072756472,0.1421752561784104,0.07355320564072669,0.27735193177235146,-1.6054273763355298,-0.5462234077409506,0.02592427515999086,0.446848798913101,-0.11040626425188757,0.17364986100652322,-0.19033877924162132,-0.40299143727083053,0.39553498608709486,-0.15675194804768192,0.19479114390171948,-0.07416142944036697,1
Nantes,0.6,0–2,2.5,Lille,-1.453638561166534,-1.223931247439509,-0.2686562279474486,-0.15863373638806355,-0.06979620517309708,-0.4212326711393056,0.2078188230893315,0.1862622177275964,-0.11180070926268722,0.32407671557957884,0.13668487077801528,0.4108855227775068,-0.14099594848373104,0.07376421979877801,0.05480708160518169,-0.14955994001794504,-0.18010932123477313,0.012887184901212037,-0.15602991101464905,-0.18593395308587737,-0.15315091626945834,-0.0760230333686816,0.2868866966499413,-0.005167760938694681,0.12220092553711981,0.047931866801388355,-1
Paris FC,1.2,1–2,0.9,Nantes,0.8646871631070242,-0.5350052365821274,-0.2933633404779215,-0.18746293095500666,0.28153206621008753,-0.3244100080108276,0.5087237024054643,0.1443489267875461,-0.07782353488806107,0.22609806283841474,-0.14328485545578543,0.29496317282813,0.6124160933248779,-1.453638561166534,-1.223931247439509,-0.2686562279474486,-0.15863373638806355,-0.06979620517309708,-0.4212326711393056,0.2078188230893315,0.1862622177275964,-0.11180070926268722,0.32407671557957884,0.13668487077801528,0.4108855227775068,-0.14099594848373104,-1
Brest,1.6,0–3,2.0,PSG,-0.7087435571768448,-1.304700808022325,-0.41093419416648747,0.001000943646045857,0.02759711802416821,-0.34452135973978765,0.23295847961013685,-0.17409419709220636,-0.02242038892408795,0.07689704932853623,-0.1696304745867298,-0.046685854054007096,-0.328656588772276,1.1846561044242967,1.7419812084047253,-0.31108455730753376,0.3952058744749122,-1.3798621481441458,-0.30819150769547105,-0.22319507812215603,0.08513295426480409,0.2632296789830166,-0.21323119369223553,0.2165841081973,0.07474603786091638,-0.4088356719826116,-1
Monaco,2.9,1–0,0.7,Toulouse,0.7722143991656735,0.041000731776876145,-0.1465627273683375,0.07483409027701406,-0.31287099035930555,-0.1194974563509695,-0.31317924133863356,0.0029520692277098803,-0.030634922642243045,0.025469624837798376,0.3142239181840429,-0.023431080401533133,-0.27697061879247403,0.3383556441990339,-1.7258097144943296,-0.31936639652674165,-0.7283505141121237,0.06767048626053349,0.03715347369952371,-0.2044399237235885,-0.25838281138481844,-0.02827088468071591,-0.0767394396585683,-0.0017697896072756472,0.1421752561784104,0.07355320564072669,1
Lens,1.8,2–1,0.7,Marseille,-0.684392598950293,-0.6552967369112738,-0.0825757459863506,0.4006584752963288,0.08448283795772925,-0.05231792893444961,0.39058789867487204,0.21189969836075204,-0.10937836037290632,0.1588492251916509,-0.20459994427114184,0.14042498221279892,0.05302406441811932,1.0217501167577956,1.0373644260374695,0.08196994793233771,-0.06901097603428963,-0.30347558143554376,-0.13809659889387893,0.2962908521887774,0.05236962804368282,0.07080421586278965,0.26734182070115753,-0.023087965407417473,0.16338842949975432,-0.3373135749445402,1
Lille,2.9,6–1,1.3,Metz,0.07376421979877801,0.05480708160518169,-0.14955994001794504,-0.18010932123477313,0.012887184901212037,-0.15602991101464905,-0.18593395308587737,-0.15315091626945834,-0.0760230333686816,0.2868866966499413,-0.005167760938694681,0.12220092553711981,0.047931866801388355,0.27735193177235146,-1.6054273763355298,-0.5462234077409506,0.02592427515999086,0.446848798913101,-0.11040626425188757,0.17364986100652322,-0.19033877924162132,-0.40299143727083053,0.39553498608709486,-0.15675194804768192,0.19479114390171948,-0.07416142944036697,1
Auxerre,0.6,0–1,1.2,Havre AC,-0.08215464220763691,-1.7434914656738252,-0.3601998987292563,0.5778263751765574,-0.1418888107239082,-0.30710670503828386,0.2288240191986595,-0.06261337309839299,-0.05847138777169534,0.04114727721526582,-0.1322917198368065,0.18907595404698135,-0.08371611142746864,-0.3278718919414595,-1.940210615050672,-0.08208852616363572,-0.2509665861822586,0.22998047893687543,-0.5263421764459065,0.21924767604293316,0.20125131483245365,-0.2827016136552632,-0.0989362824310366,-0.20356111649124242,0.26234105126829416,0.09195191686661351,-1
Angers,1.1,2–0,1.9,Lorient,-0.6868347795578484,-2.751345557687061,-0.4922960677642476,-0.7778570672413281,0.327376757092172,-0.3114810844485232,0.06455735938130709,0.17041319883406628,0.023819620833733405,0.3808488894108347,0.012039264188097027,-0.16502955323050367,-0.07212000760935207,0.0789842427593366,-1.7601231622655817,-0.34628129601008845,0.3818924910964954,-0.2025530777048714,-0.04618941083904896,-0.0059696143188351205,0.3356672014136607,-0.4113419581702137,0.3479323354938426,-0.5518177227670552,0.265789267469047,-0.027456077264886296,1
Rennes,1.7,1–2,0.7,Nice,0.5359024755460219,0.020485282104811358,0.009794052981345983,-0.16504806876946354,-0.29083217855809707,-0.1023357814474617,0.05334636971704419,0.34223053074017634,-0.39412259288018964,0.2631923942711162,-0.243166205512094,0.022934647676731167,-0.048438931067374714,0.06755515554086422,0.06366731652511551,-0.17569213014652743,0.1399908660656271,-0.1654777934796214,-0.30723522849498863,-0.3537641390162535,-0.0029536102852414686,0.07280991254104989,0.4717418151289155,-0.11083050055943183,-0.1762948802944829,0.11657126893758983,-1
Lyon,1.7,2–1,0.5,Strasbourg,0.6591401968211248,-0.8661971332627958,-0.4125221628793211,-0.11081371265624067,-0.0604045892681511,0.2835490744557837,0.17770783317216118,-0.14816505754695658,0.2632356435879941,0.4251323254022056,0.03258319050443237,0.19599939140700479,-0.15763550580393662,0.2753264241813365,-2.3794539145438436,-0.10782445834127093,-0.17496622729700362,-0.48148787183371183,0.17551129793674888,-0.2988018220238849,0.12261680877332108,0.1762516089344963,0.17188235109223773,0.03802289344718833,0.3317427159203543,-0.00017455632911593058,1
Metz,3.3,2–0,1.3,Lens,0.27735193177235146,-1.6054273763355298,-0.5462234077409506,0.02592427515999086,0.446848798913101,-0.11040626425188757,0.17364986100652322,-0.19033877924162132,-0.40299143727083053,0.39553498608709486,-0.15675194804768192,0.19479114390171948,-0.07416142944036697,-0.684392598950293,-0.6552967369112738,-0.0825757459863506,0.4006584752963288,0.08448283795772925,-0.05231792893444961,0.39058789867487204,0.21189969836075204,-0.10937836037290632,0.1588492251916509,-0.20459994427114184,0.14042498221279892,0.05302406441811932,1
Lorient,0.3,1–1,1.4,PSG,0.0789842427593366,-1.7601231622655817,-0.34628129601008845,0.3818924910964954,-0.2025530777048714,-0.04618941083904896,-0.0059696143188351205,0.3356672014136607,-0.4113419581702137,0.3479323354938426,-0.5518177227670552,0.265789267469047,-0.027456077264886296,1.1846561044242967,1.7419812084047253,-0.31108455730753376,0.3952058744749122,-1.3798621481441458,-0.30819150769547105,-0.22319507812215603,0.08513295426480409,0.2632296789830166,-0.21323119369223553,0.2165841081973,0.07474603786091638,-0.4088356719826116,0
Havre AC,1.0,1–0,0.6,Brest,-0.3278718919414595,-1.940210615050672,-0.08208852616363572,-0.2509665861822586,0.22998047893687543,-0.5263421764459065,0.21924767604293316,0.20125131483245365,-0.2827016136552632,-0.0989362824310366,-0.20356111649124242,0.26234105126829416,0.09195191686661351,-0.7087435571768448,-1.304700808022325,-0.41093419416648747,0.001000943646045857,0.02759711802416821,-0.34452135973978765,0.23295847961013685,-0.17409419709220636,-0.02242038892408795,0.07689704932853623,-0.1696304745867298,-0.046685854054007096,-0.328656588772276,1
Nice,1.7,2–0,1.0,Lille,0.06755515554086422,0.06366731652511551,-0.17569213014652743,0.1399908660656271,-0.1654777934796214,-0.30723522849498863,-0.3537641390162535,-0.0029536102852414686,0.07280991254104989,0.4717418151289155,-0.11083050055943183,-0.1762948802944829,0.11657126893758983,0.07376421979877801,0.05480708160518169,-0.14955994001794504,-0.18010932123477313,0.012887184901212037,-0.15602991101464905,-0.18593395308587737,-0.15315091626945834,-0.0760230333686816,0.2868866966499413,-0.005167760938694681,0.12220092553711981,0.047931866801388355,1
Strasbourg,3.9,3–0,0.4,Auxerre,0.2753264241813365,-2.3794539145438436,-0.10782445834127093,-0.17496622729700362,-0.48148787183371183,0.17551129793674888,-0.2988018220238849,0.12261680877332108,0.1762516089344963,0.17188235109223773,0.03802289344718833,0.3317427159203543,-0.00017455632911593058,-0.08215464220763691,-1.7434914656738252,-0.3601998987292563,0.5778263751765574,-0.1418888107239082,-0.30710670503828386,0.2288240191986595,-0.06261337309839299,-0.05847138777169534,0.04114727721526582,-0.1322917198368065,0.18907595404698135,-0.08371611142746864,1
Marseille,1.3,2–2,1.0,Angers,1.0217501167577956,1.0373644260374695,0.08196994793233771,-0.06901097603428963,-0.30347558143554376,-0.13809659889387893,0.2962908521887774,0.05236962804368282,0.07080421586278965,0.26734182070115753,-0.023087965407417473,0.16338842949975432,-0.3373135749445402,-0.6868347795578484,-2.751345557687061,-0.4922960677642476,-0.7778570672413281,0.327376757092172,-0.3114810844485232,0.06455735938130709,0.17041319883406628,0.023819620833733405,0.3808488894108347,0.012039264188097027,-0.16502955323050367,-0.07212000760935207,0
Nantes,1.6,3–5,4.3,Monaco,-1.453638561166534,-1.223931247439509,-0.2686562279474486,-0.15863373638806355,-0.06979620517309708,-0.4212326711393056,0.2078188230893315,0.1862622177275964,-0.11180070926268722,0.32407671557957884,0.13668487077801528,0.4108855227775068,-0.14099594848373104,0.7722143991656735,0.041000731776876145,-0.1465627273683375,0.07483409027701406,-0.31287099035930555,-0.1194974563509695,-0.31317924133863356,0.0029520692277098803,-0.030634922642243045,0.025469624837798376,0.3142239181840429,-0.023431080401533133,-0.27697061879247403,-1
Paris FC,0.6,3–3,1.3,Lyon,0.8646871631070242,-0.5350052365821274,-0.2933633404779215,-0.18746293095500666,0.28153206621008753,-0.3244100080108276,0.5087237024054643,0.1443489267875461,-0.07782353488806107,0.22609806283841474,-0.14328485545578543,0.29496317282813,0.6124160933248779,0.6591401968211248,-0.8661971332627958,-0.4125221628793211,-0.11081371265624067,-0.0604045892681511,0.2835490744557837,0.17770783317216118,-0.14816505754695658,0.2632356435879941,0.4251323254022056,0.03258319050443237,0.19599939140700479,-0.15763550580393662,0
